Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,13 B,(17 B),(4 B),-10.71
12M 2009,90 B,(45 B),45 B,132.36
12M 2010,149 B,(155 B),(6 B),-18.71
12M 2011,66 B,(207 B),(141 B),-83.26
12M 2012,293 B,(320 B),(27 B),-15.66
12M 2013,109 B,(354 B),(244 B),-144.16
12M 2014,(302 B),(665 B),(967 B),-540.02
12M 2015,(26 B),(356 B),(383 B),-170.91
12M 2016,252 B,(283 B),(31 B),-13.80
12M 2017,266 B,(347 B),(81 B),-36.18
12M 2018,368 B,(323 B),45 B,20.23
12M 2019,313 B,(510 B),(197 B),-87.93
12M 2020,285 B,(323 B),(39 B),-17.35
12M 2021,(274 B),(335 B),(608 B),-271.69
12M 2022,269 B,(277 B),(8 B),-3.40
12M 2023,462 B,(103 B),359 B,160.18
12M 2024,902 B,(159 B),743 B,331.99
