Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2010,6 B,(60 B),(54 B),-9.50
12M 2011,104 B,(92 B),12 B,1.53
12M 2012,40 B,(182 B),(142 B),-18.78
12M 2013,5 B,(328 B),(322 B),-42.52
12M 2014,9 B,(131 B),(122 B),-16.12
12M 2015,84 B,(192 B),(108 B),-14.17
12M 2016,307 B,(136 B),171 B,22.34
12M 2017,213 B,(45 B),167 B,21.85
12M 2018,526 B,(40 B),487 B,63.59
12M 2019,441 B,(73 B),368 B,48.09
12M 2020,146 B,(44 B),102 B,13.29
12M 2021,662 B,(147 B),514 B,67.18
12M 2022,586 B,(153 B),433 B,56.53
12M 2023,398 B,(111 B),287 B,37.48
12M 2024,253 B,(135 B),118 B,15.46
