Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2010,5.68 B,12.15,0.00,0.00,,5.98%,8.91%,13.51%,5.03
12M 2011,7.58 B,20.66,11.86,3.43,,9.05%,11.75%,17.67%,9.40
12M 2012,7.58 B,26.87,20.10,6.03,,10.10%,13.43%,15.00%,15.72
12M 2013,7.58 B,31.83,11.94,3.37,,8.51%,14.03%,14.71%,12.20
12M 2014,7.58 B,35.35,12.59,3.02,,8.24%,13.83%,18.46%,6.42
12M 2015,7.66 B,27.99,7.68,1.51,,5.92%,10.15%,15.95%,5.21
12M 2016,7.66 B,35.45,9.99,2.37,,6.90%,11.55%,15.93%,5.51
12M 2017,7.66 B,59.00,6.75,2.41,,9.27%,16.44%,15.70%,8.26
12M 2018,7.66 B,62.93,7.12,2.49,599.03 B,9.27%,15.22%,13.02%,7.11
12M 2019,7.66 B,63.61,9.12,3.16,471.91 B,7.97%,13.62%,8.82%,10.34
12M 2020,7.66 B,35.57,12.09,2.96,380.89 B,4.59%,7.19%,6.58%,13.43
12M 2021,7.66 B,48.60,9.47,2.94,412.19 B,5.80%,9.05%,7.21%,21.13
12M 2022,7.66 B,51.64,7.47,2.13,515.20 B,5.87%,8.91%,8.63%,30.44
12M 2023,7.66 B,54.55,7.41,1.81,635.73 B,5.78%,8.75%,10.10%,57.10
12M 2024,7.66 B,61.30,7.83,1.82,622.98 B,6.31%,9.09%,9.74%,94.88
