Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.16 B,1609.93,1.71,0.09,,4.45%,12.58%,17.44%,6.30
12M 2009,0.16 B,-273.49,-13.89,0.15,,-0.78%,-2.58%,0.48%,0.27
12M 2010,0.16 B,601.57,6.85,0.16,,1.74%,5.69%,4.02%,1.92
12M 2011,0.16 B,597.62,6.19,0.12,,1.51%,5.48%,4.51%,1.77
12M 2012,0.16 B,436.89,9.20,0.11,,1.05%,3.77%,4.43%,1.52
12M 2013,0.16 B,545.78,5.31,0.07,,1.13%,3.91%,3.11%,0.96
12M 2014,0.16 B,1222.74,12.15,0.38,,2.58%,8.08%,8.43%,3.19
12M 2015,0.16 B,662.92,7.63,0.14,,1.37%,3.95%,7.55%,3.13
12M 2016,0.16 B,996.90,5.64,0.17,,2.12%,5.85%,6.20%,2.66
12M 2017,3.28 B,39.56,9.86,0.22,,1.62%,4.50%,5.94%,2.54
12M 2018,3.28 B,31.76,9.76,0.15,696.81 B,1.20%,3.42%,5.71%,1.97
12M 2019,3.28 B,-165.70,-1.53,0.13,603.95 B,-7.55%,-22.45%,4.83%,1.57
12M 2020,3.28 B,-14.87,-19.10,0.13,659.84 B,-0.60%,-2.04%,7.06%,2.37
12M 2021,3.28 B,406.50,2.45,0.34,"2,692.48 B",11.25%,35.30%,31.83%,13.96
12M 2022,3.28 B,966.08,2.00,0.37,"6,814.66 B",17.59%,45.76%,49.19%,25.64
12M 2023,16.38 B,69.48,4.61,0.44,"3,348.30 B",5.86%,15.19%,11.08%,4.64
12M 2024,16.38 B,49.08,5.46,0.38,"2,736.50 B",3.86%,9.66%,9.32%,3.69
