Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,646 B,(752 B),(106 B),-646.32
12M 2009,228 B,(299 B),(72 B),-437.16
12M 2010,262 B,(290 B),(28 B),-172.35
12M 2011,191 B,(969 B),(778 B),-4751.60
12M 2012,375 B,(352 B),23 B,138.44
12M 2013,577 B,(119 B),458 B,2796.89
12M 2014,823 B,(169 B),654 B,3995.63
12M 2015,573 B,(160 B),413 B,2520.29
12M 2016,617 B,(427 B),189 B,1155.53
12M 2017,346 B,(316 B),29 B,8.86
12M 2018,413 B,(528 B),(114 B),-34.87
12M 2019,342 B,(242 B),101 B,30.75
12M 2020,840 B,(227 B),614 B,187.42
12M 2021,"2,251 B",(364 B),"1,887 B",576.23
12M 2022,"7,167 B","(1,627 B)","5,540 B",1691.67
12M 2023,"3,990 B","(2,492 B)","1,498 B",91.46
12M 2024,"2,216 B","(1,417 B)",799 B,48.80
