Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2012,9.84 B,30.34,0.00,0.00,,24.91%,31.29%,71.48%,5992.15
12M 2013,9.84 B,31.73,10.40,2.78,,11.51%,12.65%,18.57%,5113.84
12M 2014,9.84 B,33.38,11.41,3.09,,11.22%,12.08%,9.24%,1550.70
12M 2015,9.84 B,36.00,8.08,1.96,,10.84%,12.01%,11.23%,2141.89
12M 2016,9.84 B,26.34,105.92,18.02,,5.93%,8.30%,9.27%,46.14
12M 2017,9.90 B,14.81,256.58,24.25,,2.90%,4.30%,4.54%,257.65
12M 2018,9.93 B,7.66,228.46,8.71,413.33 B,1.37%,2.19%,5.33%,2.09
12M 2019,9.93 B,3.03,145.21,2.19,406.78 B,0.54%,0.86%,4.68%,1.48
12M 2020,9.93 B,1.11,959.46,6.14,416.46 B,0.19%,0.32%,4.31%,1.17
12M 2021,9.93 B,4.70,131.91,3.52,416.79 B,0.89%,1.56%,4.83%,1.30
12M 2022,9.93 B,7.78,49.61,2.04,430.48 B,1.47%,2.51%,5.33%,1.56
12M 2023,9.93 B,12.24,22.71,1.35,484.79 B,2.50%,3.84%,5.83%,2.60
12M 2024,9.93 B,13.01,15.68,0.97,453.15 B,2.63%,3.95%,6.01%,3.13
