Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2010,1.80 B,2.86,0.00,0.00,,0.98%,4.10%,-8.49%,-1.06
12M 2011,1.80 B,9.23,29.25,0.54,,2.47%,7.07%,16.43%,5.45
12M 2012,1.80 B,10.49,48.62,0.86,,2.30%,7.35%,23.94%,4.33
12M 2013,1.80 B,-42.85,-25.90,1.90,,-9.15%,-44.26%,7.58%,1.08
12M 2014,1.80 B,7.82,37.98,0.43,,1.44%,7.48%,25.27%,1.64
12M 2015,1.80 B,-5.19,-16.18,0.12,,-0.99%,-5.78%,30.89%,1.99
12M 2016,1.80 B,19.11,17.27,0.61,,3.50%,17.50%,30.86%,2.24
12M 2017,1.80 B,-12.77,-12.53,0.24,,-2.43%,-13.36%,-4.35%,-0.32
12M 2018,1.80 B,-53.72,-2.10,0.16,(4.55 B),-10.73%,-126.36%,-18.76%,-0.85
12M 2019,1.80 B,0.62,100.00,0.10,34.91 B,0.13%,1.50%,11.04%,0.37
12M 2020,1.80 B,30.62,3.79,0.17,109.14 B,7.25%,43.12%,70.67%,3.55
12M 2021,1.80 B,49.18,6.79,0.44,202.31 B,12.19%,41.35%,52.28%,10.85
12M 2022,1.80 B,-57.41,-2.16,0.21,(40.48 B),-14.13%,-93.78%,-15.61%,-5.44
12M 2023,1.80 B,-0.72,-170.83,0.23,37.59 B,-0.18%,-1.17%,1.14%,0.26
12M 2024,1.80 B,-31.49,-2.95,0.21,17.30 B,-8.04%,-99.15%,-3.13%,-0.61
