Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.35,170.26,0.35,170.26,,,,,
12M 2009,0.74,179.48,0.74,179.48,,,,,
12M 2010,0.87,188.16,0.87,188.16,,,,,
12M 2011,0.67,206.12,0.67,206.12,,,,,
12M 2012,0.73,226.19,0.73,224.63,,,,,
12M 2013,0.64,244.33,0.65,243.12,,,,,
12M 2014,0.61,260.67,0.61,259.64,,,,,
12M 2015,0.36,534.14,0.36,533.34,,,,,
12M 2016,0.36,561.33,0.36,560.64,,,,,
12M 2017,0.45,589.97,0.45,589.71,,,,,
12M 2018,0.43,647.08,0.43,646.06,,,,,
12M 2019,0.49,659.59,0.49,657.61,,,,,
12M 2020,0.58,653.41,0.58,650.53,,,,,
12M 2021,4.02,805.83,4.03,804.04,,,,,
12M 2022,1.02,908.14,1.02,904.28,,,,,
12M 2023,0.81,921.47,0.81,916.32,,,,,
12M 2024,0.64,940.11,0.64,933.87,,,,,
