Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(114 B),(3 B),(117 B),-50.67
12M 2009,223 B,(4 B),220 B,95.11
12M 2010,79 B,(7 B),72 B,31.11
12M 2011,(170 B),(11 B),(180 B),-78.13
12M 2012,(78 B),(27 B),(104 B),-45.04
12M 2013,(53 B),(8 B),(61 B),-26.55
12M 2014,438 B,(9 B),429 B,185.75
12M 2015,70 B,(7 B),64 B,27.50
12M 2016,408 B,(5 B),403 B,174.64
12M 2017,(117 B),,(117 B),-50.59
12M 2018,(9 B),(8 B),(17 B),-7.28
12M 2019,(71 B),(11 B),(82 B),-35.44
12M 2020,642 B,(24 B),619 B,267.88
12M 2021,993 B,(13 B),980 B,353.58
12M 2022,"(1,066 B)",(14 B),"(1,079 B)",-318.60
12M 2023,(238 B),(4 B),(242 B),-71.46
12M 2024,(348 B),(3 B),(351 B),-103.68
