Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,1.05 B,9.44,6.14,0.13,,3.24%,5.18%,11.96%,3.28
12M 2009,1.05 B,36.04,3.86,0.29,,11.91%,18.26%,15.71%,30.38
12M 2010,1.05 B,50.73,4.14,0.41,,15.33%,22.18%,19.22%,118.07
12M 2011,1.05 B,34.74,13.67,0.97,,10.26%,16.00%,23.98%,126.81
12M 2012,1.05 B,26.07,14.38,0.71,,8.76%,16.79%,21.73%,59.90
12M 2013,0.97 B,20.28,14.55,0.45,,6.26%,13.71%,20.31%,41.57
12M 2014,0.97 B,56.47,5.58,0.42,,15.69%,32.93%,30.07%,54.47
12M 2015,0.97 B,31.07,7.21,0.32,,7.87%,15.52%,21.57%,50.63
12M 2016,0.97 B,48.12,10.81,0.64,,10.64%,19.59%,26.72%,119.64
12M 2017,0.97 B,53.50,7.07,0.48,,10.14%,16.49%,22.12%,108.98
12M 2018,0.97 B,34.77,11.04,0.48,68.88 B,5.93%,9.77%,12.06%,77.77
12M 2019,0.97 B,44.86,7.58,0.43,96.81 B,7.06%,11.33%,14.68%,276.71
12M 2020,0.97 B,45.38,7.80,0.47,99.46 B,6.63%,10.37%,13.01%,236.67
12M 2021,0.97 B,75.36,5.84,0.44,153.96 B,9.05%,14.81%,19.63%,515.69
12M 2022,0.97 B,73.52,6.34,0.42,153.35 B,8.28%,12.71%,16.84%,445.55
12M 2023,0.97 B,39.50,11.09,0.50,84.60 B,4.23%,6.43%,7.28%,174.56
12M 2024,0.97 B,51.45,10.50,0.60,96.64 B,5.15%,7.86%,8.19%,193.67
