Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,41 B,(5 B),36 B,34.48
12M 2009,29 B,(5 B),25 B,23.55
12M 2010,85 B,(7 B),78 B,74.65
12M 2011,27 B,(5 B),22 B,20.57
12M 2012,32 B,(25 B),8 B,7.26
12M 2013,32 B,(13 B),18 B,18.89
12M 2014,26 B,(6 B),20 B,20.61
12M 2015,80 B,(31 B),49 B,50.56
12M 2016,64 B,(14 B),50 B,51.09
12M 2017,88 B,(45 B),43 B,43.95
12M 2018,7 B,(40 B),(32 B),-33.29
12M 2019,110 B,(33 B),78 B,80.06
12M 2020,84 B,(16 B),68 B,70.20
12M 2021,59 B,(9 B),50 B,51.36
12M 2022,31 B,(33 B),(3 B),-2.96
12M 2023,205 B,(30 B),175 B,180.39
12M 2024,101 B,(44 B),57 B,58.35
