Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.68 B,0.14,657.14,4.04,,0.13%,0.14%,1.70%,
12M 2009,0.68 B,0.25,688.00,6.86,,0.24%,0.24%,0.41%,
12M 2010,0.68 B,83.14,9.86,0.70,,6.15%,73.05%,35.63%,2.29
12M 2011,0.68 B,23.80,25.38,0.52,,1.86%,17.54%,18.33%,1.70
12M 2012,0.68 B,74.61,7.51,0.34,,3.84%,12.94%,16.11%,2.83
12M 2013,1.02 B,68.89,10.04,0.42,,4.52%,12.93%,11.84%,2.30
12M 2014,1.02 B,95.24,14.20,0.56,,5.95%,15.67%,20.03%,5.81
12M 2015,1.02 B,103.38,7.51,0.31,,5.05%,12.28%,18.91%,6.27
12M 2016,4.08 B,21.23,9.33,0.32,,4.44%,9.34%,9.00%,2.98
12M 2017,4.08 B,38.28,7.84,0.61,,7.65%,14.53%,1.48%,0.34
12M 2018,4.23 B,38.54,8.41,0.81,184.57 B,5.89%,12.25%,4.17%,0.94
12M 2019,4.23 B,19.10,9.90,0.46,136.69 B,3.22%,5.74%,1.72%,0.85
12M 2020,4.23 B,4.79,52.61,0.74,187.66 B,0.86%,1.42%,3.91%,1.86
12M 2021,4.23 B,7.63,23.85,0.55,175.74 B,0.92%,2.22%,0.00%,1.87
12M 2022,4.23 B,31.04,33.67,2.34,334.92 B,3.23%,7.75%,5.34%,4.55
12M 2023,4.23 B,92.41,15.26,1.92,"1,000.02 B",7.70%,19.52%,18.68%,5.19
12M 2024,4.23 B,95.81,28.39,2.85,"1,105.93 B",7.56%,17.27%,18.18%,4.79
