Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,7 B,,7 B,0.00
12M 2009,4 B,,4 B,5.85
12M 2010,60 B,(0 B),59 B,-0.53
12M 2011,105 B,(25 B),80 B,117.30
12M 2012,86 B,(16 B),70 B,103.37
12M 2013,(30 B),(2 B),(32 B),-31.28
12M 2014,413 B,(21 B),392 B,405.10
12M 2015,(59 B),(54 B),(113 B),-79.60
12M 2016,150 B,(154 B),(4 B),-37.72
12M 2017,(115 B),(11 B),(126 B),-30.93
12M 2018,154 B,(13 B),142 B,33.56
12M 2019,66 B,(137 B),(71 B),-16.78
12M 2020,240 B,(28 B),212 B,50.23
12M 2021,(49 B),(995 B),"(1,044 B)",-246.98
12M 2022,184 B,(335 B),(151 B),-35.68
12M 2023,674 B,(538 B),136 B,32.06
12M 2024,773 B,(164 B),609 B,144.06
