Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2011,2 B,(64 B),(62 B),-494864.36
12M 2012,32 B,(36 B),(4 B),-2.73
12M 2013,51 B,(103 B),(52 B),-33.24
12M 2014,100 B,(121 B),(20 B),-13.10
12M 2015,62 B,(35 B),26 B,16.70
12M 2016,98 B,(32 B),66 B,42.37
12M 2017,129 B,(42 B),87 B,55.72
12M 2018,183 B,(82 B),101 B,64.56
12M 2019,85 B,(17 B),67 B,43.05
12M 2020,272 B,(41 B),231 B,147.55
12M 2021,99 B,(6 B),93 B,59.74
12M 2022,89 B,(9 B),80 B,51.09
12M 2023,136 B,(21 B),116 B,73.87
12M 2024,78 B,(5 B),73 B,46.48
