Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2011,,,,,,,,,,,,,26.68,,1.18
12M 2012,11.0,63.9,53.85,21.05,33.2,37.84,5.71,5.12,8.79,8.12,2.21,1.94,5.25,5.25,2.22
12M 2013,9.61,74.38,64.14,19.85,37.98,39.89,4.91,4.48,8.57,7.88,2.03,1.91,7.87,7.87,1.59
12M 2014,8.17,61.89,64.11,5.95,44.69,40.63,5.9,6.5,7.4,6.0,2.2,2.13,16.96,16.96,1.31
12M 2015,7.16,48.16,54.47,0.85,50.95,48.4,7.58,7.31,7.49,7.71,2.55,2.65,19.34,19.34,1.33
12M 2016,6.98,47.72,48.97,5.73,52.31,61.76,7.65,7.59,8.8,9.05,2.86,2.91,13.66,13.66,1.59
12M 2017,6.85,49.73,52.87,3.71,53.26,55.47,7.34,7.11,9.5,9.65,2.87,2.83,12.08,12.08,1.6
12M 2018,6.41,48.49,61.58,-6.68,56.95,57.12,7.53,7.9,9.65,9.17,2.76,2.76,12.05,12.05,1.56
12M 2019,4.65,52.27,66.89,-9.97,78.57,100.18,6.98,6.77,9.35,9.3,2.58,2.61,9.95,9.95,1.69
12M 2020,2.5,47.95,60.89,-10.44,145.98,170.2,7.61,6.91,10.26,9.32,2.65,2.36,26.67,26.67,1.22
12M 2021,2.93,60.01,73.9,-10.96,124.46,122.66,6.08,5.6,7.86,7.19,2.04,1.98,-46.39,-46.39,0.9
12M 2022,3.3,64.94,72.74,-4.5,110.54,137.83,5.62,5.91,7.43,7.65,2.02,2.15,-28.78,-28.78,0.84
12M 2023,3.12,63.61,71.12,-4.39,117.07,157.68,5.74,5.95,8.33,9.01,2.16,2.28,-19.46,-19.46,0.78
12M 2024,2.57,63.99,66.97,-0.41,141.89,192.42,5.7,5.66,10.58,11.18,2.35,2.44,-43.81,-43.81,0.89
