Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2009,13 B,(1 B),12 B,65.91
12M 2010,3 B,(0 B),3 B,17.74
12M 2011,(6 B),(0 B),(7 B),-37.15
12M 2012,3 B,(20 B),(16 B),-89.49
12M 2013,10 B,(20 B),(10 B),-52.51
12M 2014,(8 B),(12 B),(19 B),-107.24
12M 2015,26 B,(4 B),22 B,121.96
12M 2016,(8 B),(3 B),(11 B),-60.26
12M 2017,13 B,(9 B),4 B,20.75
12M 2018,12 B,(9 B),3 B,16.76
12M 2019,12 B,(4 B),8 B,41.66
12M 2020,51 B,(4 B),47 B,239.20
12M 2021,(16 B),(2 B),(17 B),-88.05
12M 2022,16 B,(1 B),16 B,79.50
12M 2023,38 B,(1 B),37 B,189.45
12M 2024,42 B,(3 B),39 B,196.84
