Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2009,0.18 B,-47.95,-4.09,0.51,,-5.51%,-5.82%,5.13%,18.30
12M 2010,0.18 B,-113.56,-2.16,0.92,,-15.34%,-16.00%,-12.47%,-90.91
12M 2011,0.18 B,-94.84,-2.21,0.76,,-13.72%,-15.42%,-9.98%,-86.58
12M 2012,0.18 B,24.55,9.98,0.69,,3.36%,3.84%,1.81%,13.02
12M 2013,0.18 B,57.07,4.21,0.53,,7.59%,8.19%,7.75%,55.06
12M 2014,0.18 B,60.92,3.91,0.39,,7.45%,8.04%,7.81%,44.08
12M 2015,0.18 B,93.69,3.26,0.40,,10.00%,11.01%,12.45%,74.88
12M 2016,0.18 B,55.18,5.53,0.31,,3.71%,4.11%,6.35%,36.29
12M 2017,0.18 B,91.57,4.46,0.27,,5.46%,6.18%,8.47%,28.86
12M 2018,0.20 B,85.06,6.76,0.31,29.29 B,4.26%,5.21%,7.36%,27.74
12M 2019,0.20 B,70.43,5.93,0.21,24.74 B,3.41%,4.08%,5.18%,26.79
12M 2020,0.20 B,153.29,5.90,0.45,42.02 B,6.76%,8.19%,10.20%,71.00
12M 2021,0.20 B,56.27,9.95,0.21,19.96 B,2.16%,2.92%,3.44%,16.95
12M 2022,0.20 B,124.49,5.46,0.28,36.39 B,4.92%,5.88%,7.59%,59.17
12M 2023,0.20 B,89.23,6.05,0.28,26.26 B,3.55%,4.02%,4.79%,67.71
12M 2024,0.20 B,131.73,4.33,0.29,34.05 B,4.98%,5.67%,6.26%,527.84
