Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,2.60 B,43.36,3.97,1.38,,7.02%,9.61%,19.67%,
12M 2009,2.60 B,57.72,3.85,1.75,,8.48%,11.45%,11.97%,
12M 2010,2.60 B,77.10,8.43,4.20,,7.45%,13.55%,11.88%,
12M 2011,3.77 B,73.18,5.88,2.32,,5.77%,12.71%,9.78%,
12M 2012,3.77 B,88.13,4.60,1.74,,6.85%,13.58%,9.07%,
12M 2013,3.77 B,101.43,3.94,1.55,,6.30%,13.85%,9.27%,
12M 2014,3.98 B,99.77,4.40,1.67,,5.99%,12.21%,8.31%,
12M 2015,3.98 B,71.87,3.83,0.99,,4.31%,7.96%,6.00%,
12M 2016,3.98 B,51.54,4.66,0.92,,3.05%,5.41%,4.17%,
12M 2017,3.98 B,59.30,4.72,0.80,,2.39%,5.86%,4.05%,
12M 2018,3.98 B,76.82,4.09,0.65,445.84 B,2.76%,7.04%,4.01%,
12M 2019,3.98 B,90.75,3.20,0.53,518.70 B,2.98%,7.68%,4.24%,
12M 2020,3.98 B,11.69,20.02,0.50,106.55 B,0.43%,0.98%,0.58%,
12M 2021,3.98 B,11.62,21.51,0.68,87.03 B,0.65%,0.96%,0.49%,
12M 2022,3.98 B,77.98,3.85,0.79,443.21 B,3.86%,6.08%,5.29%,
12M 2023,3.98 B,204.54,2.40,0.85,"1,083.04 B",8.22%,14.75%,11.57%,
12M 2024,3.98 B,53.91,5.71,0.68,328.82 B,2.12%,3.73%,2.79%,
