Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,24 B,(12 B),12 B,4.51
12M 2009,(5 B),(5 B),(10 B),-3.76
12M 2010,(722 B),(15 B),(738 B),-283.31
12M 2011,"(1,627 B)",(21 B),"(1,648 B)",-436.47
12M 2012,350 B,(22 B),328 B,86.91
12M 2013,(762 B),(23 B),(785 B),-207.93
12M 2014,(142 B),(31 B),(173 B),-43.36
12M 2015,530 B,(15 B),515 B,129.25
12M 2016,253 B,(30 B),223 B,56.01
12M 2017,"(2,760 B)",(41 B),"(2,802 B)",-703.15
12M 2018,(758 B),(33 B),(791 B),-198.49
12M 2019,(552 B),(48 B),(600 B),-150.69
12M 2020,"2,903 B",(19 B),"2,884 B",723.80
12M 2021,"2,113 B",(16 B),"2,097 B",526.21
12M 2022,(523 B),(28 B),(551 B),-138.21
12M 2023,"(1,067 B)",(30 B),"(1,097 B)",-275.22
12M 2024,(42 B),(32 B),(74 B),-18.54
