Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,1.17,1.02,1.31,8.77,0.0,0.0,0.68,0.15,7.75
12M 2009,1.2,1.08,1.19,7.7,0.0,0.0,0.77,0.15,6.69
12M 2010,1.14,1.13,1.02,5.72,0.0,0.0,0.73,0.18,4.71
12M 2011,1.1,1.09,0.71,6.22,0.0,0.0,0.14,0.11,5.21
12M 2012,1.24,1.22,0.7,6.7,0.0,0.0,-0.11,0.1,5.7
12M 2013,1.39,1.37,0.95,6.32,0.0,0.0,-0.31,0.15,5.31
12M 2014,1.34,1.32,1.16,6.0,0.0,0.0,0.69,0.19,4.99
12M 2015,1.56,1.54,0.56,3.25,0.0,0.0,-0.28,0.17,2.25
12M 2016,1.29,1.28,0.79,3.7,0.0,0.0,0.17,0.21,2.7
12M 2017,1.41,1.2,1.46,4.84,0.0,0.0,0.76,0.3,3.83
12M 2018,1.34,1.11,1.36,4.8,0.0,0.0,0.84,0.28,3.8
12M 2019,1.24,1.04,1.55,5.36,0.0,0.0,1.07,0.29,4.36
12M 2020,1.11,0.88,1.69,6.87,0.0,0.0,1.27,0.25,5.86
12M 2021,1.02,0.78,1.81,7.13,0.0,0.0,1.25,0.25,6.11
12M 2022,1.2,0.92,1.19,4.76,0.0,0.0,0.67,0.25,3.71
12M 2023,1.14,0.92,1.35,4.7,0.0,0.0,0.82,0.29,3.63
12M 2024,1.12,0.83,0.93,3.88,0.0,0.0,0.69,0.24,2.81
