Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,1.80 B,46.07,5.86,0.07,,1.62%,14.20%,42.66%,
12M 2009,1.80 B,90.45,4.54,0.10,,2.89%,22.28%,37.93%,
12M 2010,1.80 B,105.59,8.62,0.29,,3.86%,22.09%,31.97%,
12M 2011,1.80 B,101.10,5.75,0.16,,2.98%,18.52%,30.30%,4.72
12M 2012,1.80 B,117.46,14.98,0.42,,2.69%,18.02%,31.09%,5.87
12M 2013,1.80 B,225.38,6.70,0.28,,4.18%,26.38%,30.40%,7.32
12M 2014,1.80 B,179.91,19.35,0.72,,3.10%,18.58%,21.46%,5.16
12M 2015,3.56 B,130.22,16.43,0.81,,2.77%,9.00%,15.50%,6.09
12M 2016,3.56 B,88.03,23.63,0.67,,1.56%,5.77%,12.09%,3.37
12M 2017,3.56 B,144.75,13.02,0.44,,1.82%,8.80%,15.80%,3.15
12M 2018,3.56 B,180.90,8.76,0.36,"1,870.91 B",2.14%,10.27%,15.48%,3.23
12M 2019,3.56 B,186.42,6.30,0.27,"1,905.38 B",1.82%,9.75%,14.92%,3.17
12M 2020,3.56 B,6.73,228.23,0.51,"1,360.42 B",0.06%,0.43%,9.99%,1.45
12M 2021,3.56 B,15.50,57.81,0.28,"1,513.07 B",0.14%,0.99%,13.21%,1.51
12M 2022,8.41 B,9.66,50.10,0.30,"1,537.21 B",0.20%,0.97%,11.25%,1.68
12M 2023,8.41 B,25.46,12.25,0.13,"1,816.37 B",0.53%,2.48%,10.66%,2.03
12M 2024,8.41 B,30.03,7.06,0.13,"1,608.56 B",0.72%,2.79%,9.51%,1.73
