Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,0.08,0.08,0.87,1.97,0.0,0.0,0.82,0.44,0.93
12M 2009,0.92,0.92,0.81,1.88,0.0,0.0,0.75,0.43,0.85
12M 2010,3.05,3.05,0.57,1.63,0.0,0.0,0.34,0.35,0.6
12M 2011,6.12,6.12,0.45,1.52,0.0,0.0,0.11,0.3,0.49
12M 2012,9.12,9.12,0.46,1.53,0.0,0.0,0.01,0.3,0.51
12M 2013,3.82,3.82,0.46,1.52,0.0,0.0,-0.07,0.3,0.49
12M 2014,3.96,3.96,0.34,1.48,0.0,0.0,-0.23,0.23,0.44
12M 2015,2.88,2.88,0.32,1.54,0.0,0.0,-0.12,0.21,0.5
12M 2016,2.88,2.88,0.43,1.76,0.0,0.0,0.06,0.25,0.72
12M 2017,2.71,2.71,0.72,2.08,0.0,0.0,0.17,0.35,1.0
12M 2018,3.0,3.0,0.77,2.06,0.0,0.0,0.23,0.38,0.98
12M 2019,1.55,1.55,0.84,2.17,0.0,0.0,0.43,0.39,1.06
12M 2020,2.27,2.27,0.57,1.84,0.0,0.0,0.15,0.31,0.75
12M 2021,0.66,0.66,0.16,1.61,0.0,0.0,0.05,0.1,0.51
12M 2022,0.47,0.47,0.21,1.76,0.0,0.0,0.18,0.12,0.63
12M 2023,0.37,0.37,0.42,1.88,0.0,0.0,0.4,0.22,0.75
12M 2024,1.08,1.08,0.5,1.83,0.0,0.0,0.49,0.28,0.72
