Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,188 B,(198 B),(10 B),-4.84
12M 2009,276 B,(18 B),258 B,129.03
12M 2010,425 B,(22 B),403 B,201.36
12M 2011,429 B,(20 B),409 B,204.44
12M 2012,530 B,(57 B),473 B,236.74
12M 2013,489 B,(125 B),363 B,165.21
12M 2014,559 B,(36 B),523 B,237.89
12M 2015,716 B,(642 B),74 B,26.99
12M 2016,972 B,(46 B),926 B,336.64
12M 2017,799 B,(54 B),745 B,271.09
12M 2018,650 B,(50 B),600 B,165.84
12M 2019,443 B,(601 B),(158 B),-43.68
12M 2020,329 B,(601 B),(273 B),-50.21
12M 2021,"1,349 B",(28 B),"1,322 B",243.30
12M 2022,"1,246 B",(23 B),"1,223 B",225.12
12M 2023,"1,343 B",(22 B),"1,321 B",242.92
12M 2024,863 B,(50 B),813 B,135.15
