Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,332 B,(336 B),(4 B),-11.69
12M 2009,177 B,(671 B),(493 B),-1497.96
12M 2010,560 B,(413 B),146 B,444.53
12M 2011,434 B,(520 B),(85 B),-259.29
12M 2012,560 B,"(1,139 B)",(579 B),-175.83
12M 2013,101 B,"(1,322 B)","(1,221 B)",-291.84
12M 2014,(118 B),"(1,386 B)","(1,504 B)",-359.45
12M 2015,663 B,(476 B),186 B,44.50
12M 2016,416 B,(409 B),7 B,1.71
12M 2017,542 B,(502 B),40 B,9.61
12M 2018,507 B,(237 B),269 B,64.41
12M 2019,11 B,(370 B),(359 B),-85.78
12M 2020,(270 B),(184 B),(454 B),-108.53
12M 2021,(662 B),(463 B),"(1,125 B)",-268.94
12M 2022,(692 B),(275 B),(967 B),-231.14
12M 2023,260 B,(191 B),69 B,16.53
12M 2024,334 B,(133 B),201 B,47.94
