Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,93 B,(139 B),(46 B),-9.27
12M 2009,175 B,(165 B),10 B,1.94
12M 2010,124 B,(191 B),(67 B),-13.36
12M 2011,162 B,(336 B),(175 B),-34.93
12M 2012,12 B,(195 B),(183 B),-30.49
12M 2013,128 B,(165 B),(37 B),-6.16
12M 2014,(29 B),(83 B),(112 B),-18.60
12M 2015,(143 B),(126 B),(270 B),-44.93
12M 2016,(58 B),(133 B),(192 B),-31.94
12M 2017,24 B,(178 B),(155 B),-25.77
12M 2018,139 B,(43 B),96 B,15.93
12M 2019,(86 B),(15 B),(101 B),-16.84
12M 2020,12 B,(17 B),(5 B),-0.87
12M 2021,239 B,(11 B),228 B,38.02
12M 2022,179 B,(32 B),147 B,24.47
12M 2023,260 B,(39 B),222 B,36.93
12M 2024,170 B,(36 B),134 B,22.26
