Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,5.00 B,10.65,7.89,1.44,,3.73%,6.04%,14.50%,7.17
12M 2009,5.00 B,34.46,6.59,2.78,,8.65%,16.10%,7.54%,5.25
12M 2010,5.00 B,32.33,13.18,4.69,,7.71%,13.81%,7.92%,2.12
12M 2011,5.00 B,33.43,7.84,2.66,,5.90%,11.20%,4.66%,1.56
12M 2012,6.00 B,16.17,12.37,2.96,,3.04%,6.12%,3.77%,1.30
12M 2013,6.00 B,-15.34,-7.17,1.54,,-2.88%,-6.17%,0.32%,0.07
12M 2014,6.00 B,8.79,15.36,1.75,,1.63%,3.41%,2.12%,0.40
12M 2015,6.00 B,-5.12,-18.55,1.16,,-0.62%,-1.17%,0.32%,0.07
12M 2016,6.00 B,-255.99,-0.29,0.83,,-43.30%,-140.45%,-5.59%,-1.16
12M 2017,6.00 B,-27.73,-2.24,0.58,,-4.73%,-11.18%,-1.09%,-0.23
12M 2018,6.00 B,-57.58,-0.87,0.53,(153.04 B),-11.87%,-34.02%,-6.93%,-1.34
12M 2019,6.00 B,-96.51,-0.52,0.78,(310.61 B),-29.75%,-76.54%,-16.27%,-3.06
12M 2020,6.00 B,-30.27,-1.65,0.74,(191.36 B),-8.47%,-18.50%,-11.70%,-2.89
12M 2021,6.00 B,2.26,30.53,0.59,13.30 B,0.67%,1.31%,-0.23%,-0.07
12M 2022,6.00 B,12.61,6.42,0.88,215.44 B,3.70%,6.83%,2.84%,1.06
12M 2023,6.00 B,0.36,333.33,0.97,122.70 B,0.10%,0.19%,-0.14%,-0.07
12M 2024,6.00 B,10.09,11.20,0.84,180.30 B,2.61%,5.11%,2.97%,1.54
