Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2012,509 B,(410 B),99 B,23.95
12M 2013,594 B,(196 B),398 B,41.74
12M 2014,918 B,(129 B),788 B,82.76
12M 2015,61 B,"(1,088 B)","(1,027 B)",-107.82
12M 2016,659 B,(393 B),266 B,27.93
12M 2017,907 B,(430 B),478 B,50.14
12M 2018,324 B,(308 B),17 B,1.74
12M 2019,11 B,(463 B),(452 B),-47.50
12M 2020,586 B,(218 B),368 B,38.64
12M 2021,"1,115 B",(266 B),849 B,89.11
12M 2022,"2,442 B",(549 B),"1,893 B",198.73
12M 2023,594 B,(546 B),48 B,5.05
12M 2024,607 B,(399 B),208 B,21.82
