Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,9 B,(0 B),8 B,21.53
12M 2009,14 B,(0 B),14 B,36.18
12M 2010,12 B,(0 B),12 B,30.73
12M 2011,15 B,(0 B),15 B,39.06
12M 2012,7 B,,7 B,17.13
12M 2013,3 B,(0 B),3 B,6.74
12M 2014,5 B,(0 B),5 B,12.38
12M 2015,(0 B),,(0 B),-1.19
12M 2016,(4 B),(0 B),(5 B),-7.35
12M 2017,(6 B),(33 B),(39 B),-63.96
12M 2018,1 B,(305 B),(304 B),-494.08
12M 2019,36 B,(54 B),(18 B),-29.89
12M 2020,19 B,(0 B),19 B,30.69
12M 2021,30 B,,30 B,48.64
12M 2022,42 B,,42 B,68.49
12M 2023,57 B,(0 B),57 B,92.85
12M 2024,65 B,(23 B),42 B,67.69
