Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2010,1.00 B,31.57,0.00,0.00,,11.15%,14.51%,19.71%,
12M 2011,1.00 B,12.46,0.00,0.00,,4.86%,5.37%,3.63%,
12M 2012,1.30 B,17.18,63.10,40.35,,5.40%,6.24%,5.56%,
12M 2013,2.17 B,3.44,509.30,136.62,,1.50%,1.70%,1.61%,
12M 2014,2.83 B,0.94,685.11,108.67,,0.48%,0.59%,-0.71%,
12M 2015,2.83 B,1.09,682.57,109.64,,0.60%,0.69%,-0.55%,
12M 2016,11.31 B,-0.85,-560.00,677.61,,-2.04%,-2.16%,-2.70%,
12M 2017,11.31 B,4.49,198.22,138.94,,9.99%,10.45%,9.26%,
12M 2018,11.31 B,1.88,433.51,422.30,(23.75 B),3.90%,4.05%,-5.31%,
12M 2019,11.31 B,-10.04,-26.49,-33.81,(108.56 B),-27.14%,-29.67%,-23.23%,
12M 2020,11.31 B,-6.77,-7.39,-9.27,(74.23 B),-22.88%,-25.97%,-20.72%,
12M 2021,11.31 B,-4.98,-10.04,-13.85,(56.57 B),-21.13%,-23.28%,-19.49%,
12M 2022,11.31 B,-4.16,-12.02,-55.24,(45.94 B),-21.66%,-24.41%,-19.77%,
12M 2023,11.31 B,-2.15,-3.72,8.68,(21.12 B),-10.19%,-14.67%,-10.72%,
12M 2024,11.31 B,-1.22,-8.20,71.16,(11.64 B),-7.84%,-8.88%,-7.10%,
