Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2010,62 B,(10 B),52 B,51.63
12M 2011,(42 B),(2 B),(44 B),-44.35
12M 2012,(22 B),(14 B),(36 B),-27.41
12M 2013,(38 B),(23 B),(39 B),-27.62
12M 2014,(21 B),(17 B),(38 B),-13.47
12M 2015,18 B,(1 B),17 B,6.04
12M 2016,14 B,(0 B),14 B,1.22
12M 2017,69 B,(0 B),69 B,6.07
12M 2018,(15 B),(2 B),(16 B),-1.45
12M 2019,8 B,(0 B),8 B,0.68
12M 2020,(9 B),(0 B),(9 B),-0.76
12M 2021,5 B,(0 B),5 B,0.44
12M 2022,(3 B),(0 B),(3 B),-0.27
12M 2023,3 B,(0 B),3 B,0.28
12M 2024,5 B,(0 B),5 B,0.43
