Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(4 B),(3 B),(6 B),-1.47
12M 2009,8 B,(10 B),(2 B),-0.49
12M 2010,13 B,(3 B),10 B,2.24
12M 2011,(118 B),(34 B),(152 B),-35.73
12M 2012,(89 B),(9 B),(98 B),-22.97
12M 2013,50 B,(339 B),(288 B),-32.20
12M 2014,75 B,"(1,393 B)","(1,318 B)",-147.16
12M 2015,(116 B),(1 B),(117 B),-13.05
12M 2016,83 B,(0 B),83 B,9.23
12M 2017,(284 B),(0 B),(285 B),-31.78
12M 2018,205 B,(1 B),204 B,22.78
12M 2019,(177 B),(3 B),(180 B),-20.11
12M 2020,204 B,(1 B),203 B,22.65
12M 2021,(18 B),(1 B),(19 B),-2.13
12M 2022,460 B,(1 B),460 B,51.31
12M 2023,100 B,(0 B),100 B,11.12
12M 2024,74 B,,74 B,8.25
