Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,39 B,(2 B),38 B,117.28
12M 2009,(12 B),(1 B),(13 B),-41.74
12M 2010,36 B,(4 B),32 B,101.15
12M 2011,25 B,(9 B),16 B,48.74
12M 2012,16 B,(7 B),9 B,28.71
12M 2013,16 B,(12 B),4 B,13.80
12M 2014,8 B,(9 B),(2 B),-5.39
12M 2015,8 B,(13 B),(5 B),-14.90
12M 2016,(20 B),(11 B),(30 B),-94.85
12M 2017,(38 B),(38 B),(75 B),-235.35
12M 2018,39 B,(70 B),(31 B),-19.24
12M 2019,137 B,(24 B),113 B,70.67
12M 2020,64 B,(45 B),18 B,11.54
12M 2021,(4 B),(40 B),(44 B),-27.49
12M 2022,13 B,(34 B),(21 B),-12.84
12M 2023,4 B,(25 B),(21 B),-13.32
12M 2024,26 B,(17 B),9 B,5.91
