Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,1.12 B,2.49,48.19,0.25,,0.61%,1.26%,7.87%,1.04
12M 2009,1.12 B,1.50,76.67,0.43,,0.47%,0.75%,3.41%,1.13
12M 2010,1.12 B,3.47,31.70,0.23,,0.96%,1.71%,4.99%,1.86
12M 2011,1.12 B,16.95,6.73,0.15,,2.95%,7.78%,17.96%,3.51
12M 2012,1.12 B,21.25,6.35,0.15,,3.29%,9.00%,24.81%,3.32
12M 2013,1.12 B,6.86,23.03,0.17,,1.17%,2.86%,22.41%,3.14
12M 2014,1.12 B,18.30,8.47,0.19,,3.16%,7.08%,16.76%,2.40
12M 2015,1.12 B,11.41,11.57,0.15,,1.95%,4.32%,18.74%,3.65
12M 2016,1.12 B,18.93,12.68,0.27,,3.32%,6.62%,20.88%,6.09
12M 2017,1.12 B,39.30,7.18,0.26,,3.56%,5.56%,9.83%,12.33
12M 2018,1.12 B,36.32,6.88,0.23,86.99 B,3.13%,4.95%,8.60%,23.75
12M 2019,1.12 B,34.51,8.81,0.30,78.05 B,3.01%,4.56%,7.03%,6.52
12M 2020,1.12 B,5.86,36.86,0.27,13.83 B,0.64%,0.78%,0.78%,1.31
12M 2021,1.12 B,-11.61,-19.47,0.21,(11.02 B),-0.87%,-1.07%,-1.85%,-1.67
12M 2022,1.12 B,27.23,8.96,0.18,49.73 B,2.02%,2.45%,2.22%,2.62
12M 2023,1.12 B,27.47,9.54,0.18,69.88 B,1.93%,2.43%,3.68%,3.95
12M 2024,1.12 B,69.08,4.20,0.16,124.13 B,4.09%,5.44%,7.41%,237.93
