Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(37 B),(17 B),(54 B),-48.16
12M 2009,8 B,(8 B),1 B,0.48
12M 2010,6 B,(8 B),(3 B),-2.54
12M 2011,47 B,(59 B),(11 B),-10.20
12M 2012,(80 B),(15 B),(94 B),-84.07
12M 2013,(107 B),(19 B),(125 B),-111.99
12M 2014,6 B,(8 B),(2 B),-2.08
12M 2015,25 B,(20 B),4 B,3.77
12M 2016,33 B,(6 B),28 B,24.76
12M 2017,(6 B),(2 B),(8 B),-7.25
12M 2018,49 B,(25 B),25 B,21.99
12M 2019,(90 B),(29 B),(119 B),-106.21
12M 2020,63 B,(14 B),49 B,44.02
12M 2021,(23 B),(7 B),(30 B),-27.10
12M 2022,76 B,(8 B),67 B,60.24
12M 2023,115 B,(4 B),110 B,98.51
12M 2024,45 B,(73 B),(29 B),-25.55
