Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2013,0.00 B,821208.42,0.00,0.00,,11.99%,70.59%,49.79%,14.75
12M 2014,0.00 B,780803.09,0.00,0.00,,9.23%,43.57%,20.98%,6.25
12M 2015,0.00 B,786999.93,0.00,0.00,,10.21%,46.72%,21.05%,5.24
12M 2016,0.94 B,94.01,61.70,4.00,,4.83%,6.95%,12.56%,13.79
12M 2017,0.94 B,160.85,23.00,2.37,,8.16%,11.06%,8.99%,17.62
12M 2018,0.94 B,187.15,12.18,1.34,256.39 B,9.09%,11.23%,10.38%,30.54
12M 2019,0.94 B,224.28,16.14,1.95,296.68 B,10.46%,12.67%,11.89%,65.06
12M 2020,0.94 B,286.66,11.34,1.63,502.72 B,12.04%,15.03%,15.52%,58.46
12M 2021,0.94 B,663.06,13.88,3.25,901.97 B,22.87%,27.60%,33.84%,214.28
12M 2022,0.94 B,396.42,14.13,2.41,593.92 B,13.92%,16.10%,18.29%,163.15
12M 2023,0.94 B,277.20,19.48,2.28,484.05 B,9.60%,11.02%,12.56%,78.16
12M 2024,0.94 B,288.21,9.37,1.12,515.41 B,9.51%,10.88%,11.87%,122.85
