Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2013,83 B,(69 B),14 B,182759.85
12M 2014,106 B,(129 B),(23 B),-312736.79
12M 2015,158 B,(322 B),(164 B),-2181565.64
12M 2016,119 B,(77 B),42 B,44.89
12M 2017,93 B,(210 B),(116 B),-124.11
12M 2018,240 B,(192 B),48 B,51.33
12M 2019,342 B,(83 B),259 B,276.39
12M 2020,435 B,(144 B),291 B,310.27
12M 2021,777 B,(129 B),649 B,691.75
12M 2022,460 B,(235 B),224 B,239.44
12M 2023,411 B,(246 B),165 B,176.49
12M 2024,477 B,(217 B),260 B,277.40
