Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2011,2.99 B,4.17,0.00,0.00,,1.18%,3.75%,6.72%,4.02
12M 2012,2.99 B,21.81,0.00,0.00,,4.60%,16.39%,5.94%,1.30
12M 2013,4.27 B,11.57,20.31,1.11,,2.76%,6.06%,9.21%,3.07
12M 2014,4.27 B,-3.11,-44.37,0.64,,-0.75%,-1.70%,2.51%,0.67
12M 2015,4.27 B,-25.46,-2.55,0.36,,-6.60%,-16.14%,-7.05%,-1.55
12M 2016,4.27 B,-13.94,-4.16,0.28,,-3.87%,-9.74%,-3.41%,-0.68
12M 2017,4.27 B,2.15,26.05,0.28,,0.63%,1.47%,-0.42%,-0.09
12M 2018,4.27 B,17.93,4.29,0.32,168.66 B,6.23%,10.92%,9.72%,3.26
12M 2019,4.27 B,4.51,26.16,0.51,106.07 B,1.59%,2.62%,4.59%,3.15
12M 2020,4.27 B,-50.45,-1.09,0.83,(115.66 B),-20.66%,-41.58%,-22.63%,-9.66
12M 2021,4.27 B,-17.66,-4.25,0.57,(3.24 B),-7.86%,-17.10%,-10.96%,-3.53
12M 2022,4.27 B,10.77,9.10,0.35,162.08 B,4.23%,9.46%,14.48%,4.23
12M 2023,4.27 B,18.13,4.69,0.27,153.23 B,6.44%,13.74%,12.10%,3.94
12M 2024,4.27 B,22.45,4.01,0.26,205.13 B,7.91%,14.56%,16.63%,6.47
