Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2011,74 B,,45 B,15.02
12M 2012,23 B,,(207 B),-69.22
12M 2013,6 B,,(358 B),-83.81
12M 2014,20 B,,(172 B),-40.20
12M 2015,25 B,,(69 B),-16.18
12M 2016,0 B,,(20 B),-4.58
12M 2017,37 B,,8 B,1.88
12M 2018,135 B,,93 B,21.71
12M 2019,61 B,(19 B),42 B,9.78
12M 2020,(111 B),(23 B),(134 B),-31.30
12M 2021,(13 B),(30 B),(43 B),-10.03
12M 2022,99 B,(24 B),74 B,17.38
12M 2023,177 B,(115 B),62 B,14.60
12M 2024,170 B,(39 B),131 B,30.73
