Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2014,1.50 B,39.91,0.00,0.00,,3.03%,22.33%,29.86%,3.69
12M 2015,1.50 B,24.01,7157.23,87.17,,1.58%,6.57%,25.20%,3.28
12M 2016,1.88 B,21.44,8127.24,79.16,,1.51%,6.73%,18.21%,2.05
12M 2017,1.88 B,18.42,11612.60,87.31,,1.06%,5.79%,20.10%,1.87
12M 2018,1.88 B,5.53,162.75,0.31,305.52 B,0.26%,1.67%,18.11%,1.93
12M 2019,2.32 B,1.57,407.64,0.27,,0.08%,0.46%,13.63%,1.52
12M 2020,2.32 B,-265.63,-2.16,0.22,264.15 B,-14.98%,-433.33%,10.34%,0.58
12M 2021,2.32 B,-119.03,-6.72,0.29,205.65 B,-6.70%,192.16%,9.88%,0.54
12M 2022,2.32 B,29.71,13.19,0.12,452.05 B,1.63%,-137.92%,42.87%,2.52
12M 2023,2.32 B,101.56,4.92,0.11,601.96 B,4.32%,114.28%,54.01%,3.23
12M 2024,2.32 B,79.19,4.72,0.10,600.42 B,3.87%,45.88%,44.30%,4.35
