Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2013,0.02 B,-2952.58,-2.71,0.02,,-2.63%,-29.20%,-58.82%,-6.33
12M 2014,0.02 B,2916.23,3.26,0.02,,2.45%,22.04%,39.85%,5.98
12M 2015,0.02 B,1585.30,3.78,0.02,,1.61%,9.72%,26.72%,2.43
12M 2016,0.37 B,261.81,3.07,0.05,,5.51%,24.74%,49.57%,3.05
12M 2017,0.37 B,276.31,3.26,0.04,,4.55%,20.52%,45.40%,3.61
12M 2018,0.37 B,247.39,3.64,0.03,232.61 B,3.29%,14.63%,37.91%,3.85
12M 2019,0.37 B,228.41,3.63,0.04,210.59 B,3.92%,12.61%,29.64%,1.72
12M 2020,0.37 B,178.74,5.26,0.05,131.38 B,2.97%,9.05%,16.27%,3.55
12M 2021,0.37 B,271.74,6.37,0.06,172.74 B,4.75%,12.17%,20.28%,3.75
12M 2022,0.37 B,211.60,7.66,0.06,153.25 B,3.70%,8.10%,15.46%,7.37
12M 2023,0.37 B,256.64,10.36,0.09,186.04 B,4.29%,9.21%,17.57%,3.71
12M 2024,0.37 B,384.57,2.43,0.03,234.52 B,5.83%,11.92%,20.20%,5.11
