Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,303 B,(189 B),114 B,71.00
12M 2009,310 B,(170 B),140 B,87.53
12M 2010,375 B,(335 B),40 B,24.93
12M 2011,413 B,(280 B),133 B,83.11
12M 2012,463 B,(369 B),94 B,58.49
12M 2013,233 B,(332 B),(99 B),-61.80
12M 2014,367 B,(382 B),(15 B),-9.14
12M 2015,326 B,(236 B),90 B,56.55
12M 2016,535 B,(279 B),256 B,159.81
12M 2017,224 B,(261 B),(37 B),-22.93
12M 2018,226 B,(362 B),(136 B),-84.97
12M 2019,298 B,(398 B),(99 B),-62.05
12M 2020,(25 B),(159 B),(184 B),-115.23
12M 2021,(83 B),(38 B),(121 B),-75.85
12M 2022,314 B,(119 B),195 B,121.88
12M 2023,341 B,(115 B),225 B,140.89
12M 2024,170 B,(178 B),(8 B),-5.18
