Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,3.33 B,11.55,81.39,0.64,,0.57%,1.93%,19.63%,1.42
12M 2009,3.33 B,46.86,120.57,2.43,,2.18%,6.47%,11.16%,3.07
12M 2010,3.33 B,234.22,76.85,6.86,,9.33%,26.56%,26.37%,10.03
12M 2011,3.33 B,549.52,32.76,4.53,,12.73%,38.76%,32.82%,19.29
12M 2012,3.33 B,164.21,51.46,2.05,,2.97%,10.82%,9.91%,3.73
12M 2013,3.33 B,-132.87,-63.97,2.02,,-2.32%,-12.70%,4.29%,1.34
12M 2014,3.33 B,-516.46,-12.88,2.15,,-11.91%,-94.14%,-0.99%,-0.22
12M 2015,3.33 B,-258.74,-30.44,4.22,,-6.67%,-75.99%,3.80%,0.83
12M 2016,3.33 B,114.80,52.26,2.71,,3.45%,25.41%,15.28%,2.60
12M 2017,3.33 B,1284.12,8.25,2.47,,35.55%,72.89%,67.14%,15.46
12M 2018,3.33 B,2139.32,9.29,2.77,"10,463.84 B",42.79%,75.86%,105.02%,161.82
12M 2019,3.33 B,948.06,16.77,2.69,"5,221.39 B",17.79%,38.17%,43.47%,33.13
12M 2020,3.33 B,1437.59,10.76,2.54,"5,072.63 B",20.97%,40.86%,28.46%,7.93
12M 2021,3.33 B,5206.98,5.09,2.16,"24,871.38 B",49.95%,67.53%,100.52%,33.20
12M 2022,33.33 B,972.21,21.60,10.00,"44,713.54 B",52.68%,109.71%,142.93%,1100.31
12M 2023,33.33 B,566.82,35.11,12.14,"25,635.76 B",35.53%,65.05%,74.89%,242.39
12M 2024,33.33 B,438.71,46.16,12.36,"20,854.02 B",25.70%,41.06%,53.38%,67.99
