Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,0.58,0.46,1.36,3.39,0.0,0.0,0.59,0.4,2.38
12M 2009,0.86,0.59,1.0,2.97,0.0,0.0,0.63,0.34,1.95
12M 2010,0.99,0.78,1.01,2.85,0.0,0.0,0.51,0.35,1.81
12M 2011,0.65,0.42,0.77,3.04,0.0,0.0,0.47,0.25,1.68
12M 2012,1.16,0.68,1.23,3.65,0.0,0.0,0.93,0.34,2.3
12M 2013,1.1,0.75,2.42,5.48,0.0,0.0,1.79,0.44,3.91
12M 2014,0.62,0.46,3.98,7.9,0.0,0.0,3.43,0.5,6.16
12M 2015,1.89,1.28,6.58,11.4,0.0,0.0,5.49,0.58,9.31
12M 2016,2.55,2.04,4.29,7.36,0.0,0.0,3.76,0.58,5.68
12M 2017,1.02,0.75,0.23,2.05,0.0,0.0,0.09,0.11,0.86
12M 2018,1.24,0.93,0.25,1.77,0.0,0.0,-0.1,0.14,0.73
12M 2019,0.89,0.53,0.62,2.15,0.0,0.0,0.33,0.29,1.11
12M 2020,3.25,2.88,0.53,1.95,0.0,0.0,0.07,0.27,0.91
12M 2021,3.13,2.93,0.0,1.35,0.0,0.0,-0.54,0.0,0.32
12M 2022,1.31,1.25,0.04,2.08,0.0,0.0,-0.92,0.02,1.03
12M 2023,1.42,1.27,0.21,1.83,0.0,0.0,-0.18,0.12,0.78
12M 2024,1.64,1.41,0.15,1.6,0.0,0.0,-0.26,0.1,0.55
