Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(209 B),"(1,164 B)","(1,373 B)",-411.79
12M 2009,(348 B),(374 B),(722 B),-216.66
12M 2010,563 B,(259 B),304 B,91.10
12M 2011,"1,133 B",(351 B),782 B,234.74
12M 2012,(384 B),"(1,198 B)","(1,582 B)",-474.58
12M 2013,554 B,(479 B),75 B,22.61
12M 2014,820 B,(439 B),381 B,114.32
12M 2015,717 B,(662 B),55 B,16.54
12M 2016,"1,336 B",(667 B),670 B,200.95
12M 2017,"5,852 B",(478 B),"5,374 B",1612.09
12M 2018,"8,282 B","(1,190 B)","7,092 B",2127.55
12M 2019,688 B,(878 B),(190 B),-57.00
12M 2020,"5,092 B","(1,274 B)","3,818 B",1145.41
12M 2021,"21,561 B","(2,530 B)","19,031 B",5709.29
12M 2022,"33,205 B","(3,087 B)","30,118 B",903.54
12M 2023,"11,292 B","(3,331 B)","7,961 B",238.83
12M 2024,"17,124 B","(2,902 B)","14,222 B",426.66
