Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2007,(4 B),(10 B),(14 B),-9.30
12M 2008,67 B,(17 B),50 B,33.51
12M 2009,160 B,(8 B),152 B,92.87
12M 2010,64 B,(27 B),37 B,16.17
12M 2011,695 B,(35 B),660 B,284.84
12M 2012,459 B,(58 B),401 B,173.22
12M 2013,(229 B),(34 B),(264 B),-113.78
12M 2014,(159 B),(10 B),(169 B),-32.38
12M 2015,803 B,(48 B),755 B,144.83
12M 2016,(871 B),(94 B),(965 B),-185.15
12M 2017,552 B,(36 B),516 B,76.81
12M 2018,"(4,014 B)",(23 B),"(4,037 B)",-600.72
12M 2019,(333 B),(22 B),(356 B),-54.03
12M 2020,"(4,892 B)",(16 B),"(4,908 B)",-745.78
12M 2021,"3,047 B",(31 B),"3,016 B",352.02
12M 2022,(89 B),(50 B),(139 B),-16.20
12M 2023,(276 B),(42 B),(318 B),-37.08
12M 2024,"(1,266 B)",(57 B),"(1,323 B)",-90.07
