Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2007,1.50 B,21.07,5.74,0.84,,2.16%,17.58%,6.31%,
12M 2008,1.50 B,25.11,1.63,0.20,,1.90%,18.78%,3.18%,
12M 2009,1.64 B,21.76,12.73,1.32,,1.48%,14.05%,2.38%,
12M 2010,2.32 B,25.88,11.13,1.47,,1.85%,15.23%,2.97%,
12M 2011,2.32 B,38.87,5.61,0.86,,1.77%,19.03%,2.96%,
12M 2012,2.32 B,51.31,12.94,1.92,,1.56%,22.09%,2.48%,
12M 2013,2.32 B,53.39,16.54,2.00,,1.50%,21.40%,2.02%,
12M 2014,5.21 B,26.49,43.04,23.62,,0.84%,3.54%,1.56%,
12M 2015,5.21 B,50.89,21.40,3.66,,1.32%,6.41%,2.01%,
12M 2016,5.21 B,59.45,19.18,3.35,,1.37%,7.02%,1.94%,
12M 2017,6.72 B,65.29,13.63,3.00,,1.62%,7.18%,2.37%,
12M 2018,6.72 B,80.06,10.74,2.61,797.08 B,1.82%,8.21%,2.57%,
12M 2019,6.58 B,75.95,10.93,2.24,744.68 B,1.35%,7.21%,2.02%,
12M 2020,6.58 B,81.45,9.09,2.01,804.65 B,1.41%,7.37%,1.84%,
12M 2021,8.57 B,73.43,7.69,1.96,980.00 B,1.44%,6.80%,2.00%,
12M 2022,8.57 B,100.44,5.68,1.65,"1,250.67 B",1.67%,8.67%,2.34%,
12M 2023,8.57 B,81.45,6.94,1.30,"1,046.75 B",1.27%,6.79%,1.71%,
12M 2024,14.69 B,35.13,11.84,1.49,821.91 B,0.88%,3.75%,1.20%,
