Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2015,2.15,2.15,0.19,1.78,0.0,0.0,-0.12,0.11,0.78
12M 2016,377.79,377.79,0.0,1.01,0.0,0.0,-0.01,0.0,0.01
12M 2017,31.79,31.79,0.01,1.14,0.0,0.0,0.0,0.01,0.05
12M 2018,83.48,83.48,0.0,1.11,0.0,0.0,-0.01,0.0,0.03
12M 2019,5.79,5.79,0.0,1.77,0.0,0.0,-0.12,0.0,0.22
12M 2020,5.09,5.09,0.0,1.81,0.0,0.0,-0.14,0.0,0.21
12M 2021,5.33,5.33,0.0,1.82,0.0,0.0,-0.15,0.0,0.23
12M 2022,6.03,6.03,0.0,1.8,0.0,0.0,-0.15,0.0,0.21
12M 2023,6.6,6.6,0.0,1.82,0.0,0.0,-0.12,0.0,0.23
12M 2024,8.26,8.26,0.0,1.84,0.0,0.0,-0.12,0.0,0.24
