Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,2.21,1.46,0.84,2.53,0.0,0.0,0.61,0.33,1.22
12M 2009,2.16,1.52,0.68,2.53,0.0,0.0,0.39,0.27,1.17
12M 2010,1.44,0.95,0.66,2.73,0.0,0.0,0.37,0.24,1.39
12M 2011,1.99,1.25,0.63,2.66,0.0,0.0,0.45,0.24,1.3
12M 2012,1.53,0.96,0.75,2.99,0.0,0.0,0.54,0.25,1.62
12M 2013,1.35,0.88,0.77,3.24,0.0,0.0,0.4,0.24,1.76
12M 2014,1.4,0.95,0.98,3.29,0.0,0.0,0.67,0.3,1.8
12M 2015,1.11,0.65,0.85,3.15,0.0,0.0,0.7,0.27,1.48
12M 2016,1.34,0.97,0.64,3.05,0.0,0.0,0.27,0.21,1.33
12M 2017,1.72,1.45,0.85,3.4,0.0,0.0,0.03,0.25,1.52
12M 2018,1.75,1.51,2.27,5.99,0.0,0.0,1.59,0.38,3.69
12M 2019,1.65,1.37,2.17,6.11,0.0,0.0,1.53,0.35,3.77
12M 2020,1.87,1.62,2.16,5.78,0.0,0.0,1.31,0.37,3.55
12M 2021,3.15,2.81,1.76,5.28,0.0,0.0,0.69,0.33,2.84
12M 2022,3.7,3.27,2.52,5.85,0.0,0.0,1.49,0.43,3.5
12M 2023,3.19,2.82,2.54,6.01,0.0,0.0,1.47,0.42,3.58
12M 2024,2.44,2.16,2.7,6.1,0.0,0.0,1.77,0.44,3.67
