Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,6.98 B,,0.00,0.23,,0.00%,0.00%,-24.69%,-5.72
12M 2009,6.98 B,,0.00,0.64,,0.00%,0.00%,7.89%,4.23
12M 2010,6.98 B,,0.00,0.48,,0.00%,0.00%,4.52%,1.17
12M 2011,6.98 B,-13.36,-57.63,0.28,,-0.50%,-1.32%,1.65%,0.46
12M 2012,6.98 B,-128.77,-3.26,0.13,,-4.38%,-13.10%,-4.13%,-1.28
12M 2013,6.98 B,-45.20,-9.07,0.09,,-1.11%,-3.61%,0.55%,0.29
12M 2014,6.98 B,-15.51,-19.34,0.07,,-0.37%,-1.23%,1.85%,0.85
12M 2015,6.98 B,-10.27,-12.66,0.05,,-0.23%,-0.73%,3.59%,2.26
12M 2016,6.98 B,251.10,5.85,0.39,,5.07%,15.50%,20.61%,10.69
12M 2017,13.96 B,113.24,19.96,0.96,,3.20%,10.90%,18.40%,7.45
12M 2018,17.79 B,57.85,41.31,0.97,"11,034.19 B",1.01%,6.05%,15.39%,3.18
12M 2019,89.02 B,7.01,215.41,3.95,"7,639.63 B",0.63%,3.82%,7.10%,2.30
12M 2020,93.39 B,6.61,166.41,3.02,"8,643.80 B",0.57%,3.29%,6.99%,1.99
12M 2021,93.75 B,16.66,51.32,1.77,"11,294.29 B",1.18%,6.25%,8.55%,3.41
12M 2022,93.75 B,0.28,2696.43,1.61,"6,504.16 B",0.02%,0.11%,3.23%,1.33
12M 2023,93.75 B,4.25,312.94,2.96,"8,203.99 B",0.25%,1.53%,3.94%,1.09
12M 2024,93.75 B,9.55,96.34,2.28,"8,535.31 B",0.53%,3.21%,3.77%,0.97
