Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2011,0.00 B,11945.85,0.00,0.00,,3.01%,11.03%,15.18%,3.79
12M 2012,2.62 B,36.15,54.77,4.92,,7.02%,11.86%,21.00%,5.35
12M 2013,2.62 B,22.07,88.36,2.92,,2.97%,5.43%,9.32%,6.17
12M 2014,2.62 B,12.05,131.95,1.54,,1.52%,2.82%,6.85%,4.07
12M 2015,2.62 B,135.00,8.22,0.84,,14.73%,24.40%,33.78%,24.18
12M 2016,2.62 B,139.46,10.11,1.14,,14.76%,21.33%,28.34%,29.89
12M 2017,2.62 B,423.63,4.96,1.05,,38.93%,54.58%,76.19%,165.34
12M 2018,2.62 B,376.12,6.22,0.97,"1,531.07 B",27.73%,45.22%,57.86%,167.83
12M 2019,2.62 B,164.72,11.05,0.81,858.47 B,12.37%,18.20%,23.69%,32.81
12M 2020,2.62 B,170.03,9.97,0.92,818.15 B,11.98%,16.57%,22.10%,48.24
12M 2021,2.62 B,1122.20,3.64,1.08,"4,075.38 B",47.24%,81.41%,113.84%,368.39
12M 2022,2.62 B,1363.91,3.18,0.74,"4,979.24 B",56.54%,103.81%,123.37%,650.65
12M 2023,2.62 B,946.04,4.08,0.58,"3,912.09 B",39.25%,66.12%,87.90%,589.59
12M 2024,2.62 B,796.90,5.61,0.78,"3,392.28 B",33.68%,48.87%,64.26%,743.95
