Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2011,4 B,(62 B),(58 B),-24805.93
12M 2012,(148 B),(37 B),(185 B),-70.57
12M 2013,139 B,(440 B),(302 B),-115.26
12M 2014,177 B,(137 B),40 B,15.30
12M 2015,601 B,(166 B),435 B,166.34
12M 2016,215 B,(157 B),58 B,22.30
12M 2017,"1,347 B",(180 B),"1,167 B",0.00
12M 2018,"1,221 B",(521 B),700 B,267.38
12M 2019,494 B,(303 B),191 B,0.00
12M 2020,530 B,(146 B),384 B,146.92
12M 2021,"3,388 B",(329 B),"3,060 B",1169.36
12M 2022,"4,935 B",(754 B),"4,181 B",1597.92
12M 2023,"1,759 B",(537 B),"1,222 B",466.89
12M 2024,"2,204 B",(574 B),"1,630 B",623.03
