Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2015,0.16 B,-254.32,-0.00,0.00,,-3.10%,-19.65%,11.48%,0.75
12M 2016,2.24 B,43.92,0.00,0.00,,4.79%,17.91%,28.16%,2.75
12M 2017,2.81 B,14.91,24.01,0.83,,2.22%,4.53%,10.68%,2.18
12M 2018,2.81 B,0.26,2115.38,1.29,203.97 B,0.04%,0.08%,3.86%,0.95
12M 2019,2.81 B,4.69,107.68,0.99,220.68 B,0.59%,1.25%,5.89%,1.58
12M 2020,2.81 B,-21.08,-19.54,0.90,268.00 B,-2.65%,-6.32%,1.95%,0.44
12M 2021,2.81 B,-20.74,-31.34,1.38,269.78 B,-3.14%,-6.49%,1.94%,0.39
12M 2022,2.81 B,7.27,112.79,1.84,363.10 B,1.12%,2.07%,7.26%,2.15
12M 2023,2.81 B,22.27,31.88,1.75,413.76 B,3.64%,6.01%,13.73%,3.67
12M 2024,2.81 B,-26.73,-30.30,1.79,210.33 B,-3.28%,-7.80%,3.64%,0.74
