Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,88 B,(72 B),16 B,5.31
12M 2009,306 B,(75 B),231 B,78.56
12M 2010,122 B,(107 B),15 B,5.07
12M 2011,226 B,(75 B),152 B,51.71
12M 2012,(149 B),(97 B),(246 B),-83.68
12M 2013,(66 B),(115 B),(181 B),-11.09
12M 2014,107 B,(293 B),(186 B),-11.38
12M 2015,361 B,(108 B),253 B,15.51
12M 2016,434 B,(142 B),292 B,17.92
12M 2017,(171 B),(150 B),(320 B),-19.65
12M 2018,(178 B),(133 B),(311 B),-19.10
12M 2019,375 B,(191 B),184 B,11.27
12M 2020,135 B,(25 B),110 B,6.73
12M 2021,248 B,(16 B),233 B,14.26
12M 2022,69 B,(79 B),(10 B),-0.60
12M 2023,214 B,(106 B),108 B,6.64
12M 2024,315 B,(99 B),216 B,13.22
