Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,2.94 B,34.85,22.53,0.99,,7.47%,17.62%,55.37%,
12M 2009,2.94 B,42.60,16.78,0.78,,8.13%,18.84%,28.54%,
12M 2010,2.94 B,39.42,19.91,0.86,,5.93%,15.58%,23.84%,
12M 2011,2.94 B,45.97,29.91,1.26,,6.06%,16.07%,27.51%,7.91
12M 2012,2.94 B,61.77,23.88,1.08,,7.09%,18.56%,27.92%,6.87
12M 2013,16.31 B,12.66,43.44,1.94,,6.04%,13.12%,24.52%,5.73
12M 2014,16.31 B,13.29,63.96,2.94,,5.64%,12.62%,20.47%,4.63
12M 2015,16.31 B,14.33,58.62,2.94,,6.19%,12.33%,18.93%,5.14
12M 2016,16.31 B,19.89,31.17,2.17,,8.10%,15.13%,18.14%,8.54
12M 2017,16.31 B,18.85,28.65,1.96,,7.31%,13.12%,12.12%,6.20
12M 2018,16.31 B,16.31,22.32,1.15,493.17 B,5.54%,10.56%,12.59%,4.42
12M 2019,16.31 B,12.21,40.95,1.49,483.18 B,4.04%,7.49%,10.67%,2.98
12M 2020,16.31 B,3.25,123.08,2.16,275.18 B,1.16%,2.00%,4.83%,2.97
12M 2021,16.31 B,-2.33,-53.22,0.58,227.08 B,-0.92%,-1.46%,3.89%,2.55
12M 2022,16.31 B,12.31,9.67,0.43,317.31 B,4.66%,7.11%,7.38%,11.44
12M 2023,16.31 B,14.56,6.11,0.32,364.28 B,5.40%,7.88%,8.95%,8.89
12M 2024,16.31 B,11.43,7.17,0.35,248.02 B,4.26%,5.95%,4.62%,7.65
