Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2013,(21 B),(8 B),(29 B),-2618806.35
12M 2014,14 B,(1 B),13 B,1137551.93
12M 2015,(9 B),(6 B),(15 B),-13.89
12M 2016,(6 B),(1 B),(7 B),-6.62
12M 2017,(1 B),(52 B),(53 B),-48.78
12M 2018,13 B,(14 B),(1 B),-0.70
12M 2019,12 B,(2 B),10 B,9.01
12M 2020,24 B,(2 B),21 B,19.86
12M 2021,47 B,(3 B),44 B,41.01
12M 2022,20 B,(1 B),19 B,17.37
12M 2023,(16 B),(0 B),(16 B),-14.68
12M 2024,29 B,(1 B),28 B,25.97
