Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2014,0.00 B,793327.46,0.00,0.00,,5.83%,9.85%,19.40%,3.50
12M 2015,1.08 B,17.38,7.59,0.95,,9.43%,14.71%,25.98%,4.79
12M 2016,1.08 B,29.86,9.18,1.38,,12.78%,21.31%,32.59%,8.59
12M 2017,1.08 B,36.19,11.05,1.75,,10.83%,21.46%,31.66%,7.79
12M 2018,1.08 B,29.96,14.29,1.75,67.06 B,7.99%,15.61%,27.55%,4.38
12M 2019,1.08 B,9.47,32.95,1.64,36.10 B,2.43%,4.87%,13.17%,2.26
12M 2020,1.08 B,-52.88,-4.84,2.13,(36.13 B),-16.30%,-40.41%,-19.90%,-4.07
12M 2021,1.08 B,3.54,53.67,1.13,15.31 B,1.23%,2.61%,6.98%,1.87
12M 2022,1.08 B,7.34,14.31,0.52,19.72 B,2.45%,5.14%,9.83%,2.53
12M 2023,1.08 B,14.31,11.18,0.51,26.88 B,4.42%,9.14%,13.51%,4.91
12M 2024,1.08 B,16.89,8.23,0.41,29.09 B,6.03%,10.03%,13.52%,5.14
