Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2011,0.38,0.37,3.77,4.88,0.0,0.0,3.71,0.77,3.88
12M 2012,0.31,0.3,1.14,2.47,0.0,0.0,1.08,0.46,1.47
12M 2013,0.62,0.61,1.04,2.18,0.0,0.0,0.92,0.48,1.18
12M 2014,1.19,1.17,0.63,1.69,0.0,0.0,0.33,0.37,0.69
12M 2015,0.14,0.13,0.93,2.03,0.0,0.0,0.9,0.46,1.03
12M 2016,0.17,0.16,0.88,2.03,0.0,0.0,0.84,0.43,1.03
12M 2017,0.08,0.08,1.8,3.12,0.0,0.0,1.73,0.58,2.12
12M 2018,0.83,0.8,2.4,3.77,0.0,0.0,2.24,0.64,2.77
12M 2019,0.93,0.92,2.8,4.25,0.0,0.0,2.59,0.66,3.25
12M 2020,0.35,0.35,0.0,5.17,0.0,0.0,-0.6,0.0,4.17
12M 2021,0.49,0.48,0.0,4.15,0.0,0.0,-0.73,0.0,3.15
12M 2022,1.84,1.8,0.0,1.32,0.0,0.0,-0.23,0.0,0.32
12M 2023,2.5,2.48,0.0,1.17,0.0,0.0,-0.26,0.0,0.17
12M 2024,6.73,6.64,0.11,1.14,0.0,0.0,-0.14,0.1,0.14
