Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,2.15 B,-27.81,-1.80,0.37,,-9.90%,-31.53%,-13.75%,-0.68
12M 2009,2.32 B,-14.97,-3.34,0.49,,-6.19%,-18.64%,-3.72%,-0.22
12M 2010,3.00 B,-13.19,-3.79,0.70,,-6.68%,-21.90%,-8.08%,-1.02
12M 2011,4.19 B,27.02,1.85,0.94,,18.90%,54.77%,32.18%,5.51
12M 2012,4.19 B,-7.84,-24.87,3.03,,-4.49%,-18.88%,-2.83%,-0.46
12M 2013,4.66 B,-6.24,-12.98,1.09,,-2.20%,-10.51%,-0.92%,-0.13
12M 2014,9.33 B,-2.98,-28.19,2.67,,-1.76%,-3.32%,-6.74%,
12M 2015,9.33 B,-15.92,-3.14,2.03,,-9.93%,-18.54%,-10.76%,
12M 2016,9.33 B,-15.69,-3.19,2.15,,-11.55%,-24.78%,-4.49%,
12M 2017,9.98 B,-9.07,-5.51,2.32,,-8.60%,-15.16%,-8.00%,
12M 2018,9.98 B,-10.35,-4.83,1.73,21.95 B,-10.42%,-18.57%,-4.26%,
12M 2019,10.70 B,-6.58,-7.60,2.54,(11.92 B),-8.28%,-14.14%,-10.78%,
12M 2020,10.70 B,-8.74,-5.72,4.75,(20.60 B),-12.30%,-44.24%,-13.23%,
12M 2021,11.42 B,-0.60,-108.33,3.02,132.31 B,-0.48%,-3.01%,3.97%,
12M 2022,11.42 B,50.76,2.36,0.48,"1,064.02 B",20.62%,49.41%,75.31%,44.30
12M 2023,11.42 B,35.25,1.42,0.22,606.91 B,10.62%,25.33%,25.93%,12.52
12M 2024,11.42 B,10.66,4.69,0.31,357.88 B,3.30%,6.96%,12.91%,3.34
