Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(17 B),(256 B),(273 B),-68.76
12M 2009,32 B,(36 B),(4 B),-1.13
12M 2010,86 B,(4 B),82 B,20.70
12M 2011,147 B,(20 B),127 B,32.04
12M 2012,113 B,(0 B),112 B,28.33
12M 2013,111 B,,111 B,27.94
12M 2014,23 B,,23 B,5.74
12M 2015,0 B,(0 B),0 B,0.01
12M 2016,48 B,(0 B),47 B,11.97
12M 2017,15 B,(0 B),15 B,3.74
12M 2018,8 B,,8 B,1.99
12M 2019,14 B,,14 B,3.65
12M 2020,(5 B),,(5 B),-1.23
12M 2021,(9 B),,(9 B),-2.24
12M 2022,(1 B),,(1 B),-0.19
12M 2023,15 B,(2 B),14 B,3.42
12M 2024,(22 B),,(22 B),-5.48
