Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2013,(2 B),(4 B),(6 B),-3.68
12M 2014,173 B,(5 B),168 B,74.86
12M 2015,148 B,(2 B),146 B,64.76
12M 2016,(213 B),(1 B),(214 B),-95.10
12M 2017,141 B,(3 B),138 B,61.11
12M 2018,264 B,(2 B),262 B,116.59
12M 2019,(201 B),(40 B),(240 B),-37.89
12M 2020,(578 B),(17 B),(595 B),-51.44
12M 2021,157 B,(12 B),145 B,10.25
12M 2022,(984 B),(18 B),"(1,002 B)",-58.78
12M 2023,530 B,(29 B),501 B,29.40
12M 2024,56 B,(5 B),51 B,2.98
