Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2013,,,,,,,,,,,,,2.34,2.34,3.73
12M 2014,4.12,121.95,1.8,124.27,88.51,373.23,2.99,3.3,0.16,0.17,0.06,0.06,2.63,2.63,3.34
12M 2015,2.65,119.36,1.04,120.97,137.51,101.17,3.06,2.91,0.17,0.18,0.06,0.06,197.2,197.2,1.01
12M 2016,33.19,44.11,3.41,73.89,11.0,6.37,8.27,6.07,0.74,0.73,0.24,0.23,-3.72,-3.72,0.68
12M 2017,166.5,177.46,12.41,331.55,2.19,3.52,2.06,1.37,0.2,0.2,0.06,0.06,-5.22,-5.22,0.82
12M 2018,78.65,202.03,0.3,33.29,4.64,4.61,1.81,1.56,0.19,0.19,0.06,0.06,-16.14,-16.14,0.95
12M 2019,78.41,262.89,0.18,341.12,4.66,3.98,1.39,1.28,0.23,0.24,0.06,0.05,0.2,0.2,5.41
12M 2020,103.84,346.18,0.21,449.81,3.52,3.73,1.05,1.0,0.2,0.2,0.04,0.04,0.16,0.16,98.63
12M 2021,68.89,391.46,0.11,460.24,5.3,5.14,0.93,0.91,0.25,0.26,0.06,0.06,0.23,0.23,56.68
12M 2022,93.95,604.43,0.21,698.17,3.88,445.12,0.6,0.52,0.1,0.11,0.02,0.02,0.1,0.1,27.37
12M 2023,0.7,812.49,0.5,812.69,519.93,659.89,0.45,0.43,0.18,0.19,0.05,0.05,0.22,0.22,64.7
12M 2024,28.77,932.59,0.97,960.39,12.69,6.29,0.39,0.4,0.09,0.1,0.02,0.02,0.11,0.11,85.09
