Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,13.75 B,12.00,12.83,0.54,,2.06%,3.87%,19.75%,2.84
12M 2009,13.75 B,28.85,7.28,0.74,,5.19%,9.25%,9.48%,2.31
12M 2010,13.77 B,54.03,17.40,2.67,,9.08%,15.61%,20.02%,5.47
12M 2011,13.85 B,77.29,16.95,3.37,,12.16%,17.52%,24.03%,10.30
12M 2012,13.96 B,118.74,21.05,5.57,,18.49%,23.47%,28.99%,52.07
12M 2013,14.10 B,119.95,21.88,5.67,,17.59%,22.90%,32.57%,62.38
12M 2014,14.28 B,123.42,20.58,5.44,,12.95%,19.78%,25.12%,44.71
12M 2015,14.28 B,83.05,22.34,4.11,,8.19%,13.22%,16.78%,11.22
12M 2016,14.28 B,95.87,18.31,3.72,,9.61%,15.52%,19.87%,12.04
12M 2017,14.28 B,101.80,12.62,2.60,,9.65%,16.10%,22.55%,10.25
12M 2018,14.28 B,107.27,6.43,1.32,"3,176.73 B",9.37%,15.52%,19.72%,7.77
12M 2019,14.28 B,156.44,10.42,2.79,"3,713.41 B",12.52%,19.20%,21.81%,7.47
12M 2020,15.05 B,116.12,9.82,2.16,"3,327.34 B",9.23%,12.34%,17.38%,6.68
12M 2021,15.05 B,157.97,5.70,1.41,"4,129.55 B",11.13%,14.02%,19.64%,13.11
12M 2022,15.05 B,136.64,5.42,1.23,"3,726.76 B",9.17%,10.76%,15.11%,21.80
12M 2023,15.05 B,68.62,5.63,0.75,"2,326.01 B",4.54%,5.15%,7.16%,7.79
12M 2024,15.05 B,71.31,3.87,0.52,"2,389.32 B",4.36%,4.99%,7.16%,4.92
