Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,366 B,(307 B),60 B,4.33
12M 2009,146 B,(210 B),(64 B),-4.67
12M 2010,384 B,(174 B),209 B,15.20
12M 2011,868 B,(87 B),781 B,56.42
12M 2012,"1,167 B",(270 B),897 B,64.26
12M 2013,"1,440 B",(703 B),737 B,52.25
12M 2014,"1,098 B","(1,289 B)",(191 B),-13.35
12M 2015,"1,249 B","(1,420 B)",(171 B),-11.99
12M 2016,"1,966 B",(834 B),"1,132 B",79.28
12M 2017,"2,198 B",(573 B),"1,625 B",113.83
12M 2018,"2,008 B",(674 B),"1,334 B",93.46
12M 2019,"1,724 B",(626 B),"1,098 B",76.88
12M 2020,"1,379 B","(1,356 B)",23 B,1.51
12M 2021,"2,661 B",(749 B),"1,912 B",127.03
12M 2022,"2,587 B","(1,175 B)","1,412 B",93.80
12M 2023,"1,151 B","(1,108 B)",43 B,2.86
12M 2024,"1,044 B","(1,340 B)",(296 B),-19.64
