Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2013,836 B,"(2,023 B)","(1,187 B)",-1111418.51
12M 2014,"2,021 B","(2,053 B)",(32 B),-30320.52
12M 2015,"2,028 B","(2,440 B)",(412 B),-28.43
12M 2016,"1,341 B","(1,579 B)",(238 B),-14.78
12M 2017,"1,994 B","(1,361 B)",633 B,39.34
12M 2018,"2,058 B",(414 B),"1,644 B",102.19
12M 2019,"1,748 B",(259 B),"1,489 B",92.56
12M 2020,"2,396 B",(271 B),"2,125 B",132.08
12M 2021,"1,989 B",(223 B),"1,767 B",109.83
12M 2022,"2,285 B",(610 B),"1,675 B",104.14
12M 2023,"2,391 B",(465 B),"1,926 B",119.70
12M 2024,"2,405 B",(752 B),"1,653 B",102.78
